DATE,PRCP,TMAX,TMIN,RAIN
1/1/1948,0.47,51,42,TRUE
1/2/1948,0.59,45,36,TRUE
1/3/1948,0.42,45,35,TRUE
1/4/1948,0.31,45,34,TRUE
1/5/1948,0.17,45,32,TRUE
1/6/1948,0.44,48,39,TRUE
1/7/1948,0.41,50,40,TRUE
1/8/1948,0.04,48,35,TRUE
1/9/1948,0.12,50,31,TRUE
1/10/1948,0.74,43,34,TRUE
1/11/1948,0.01,42,32,TRUE
1/12/1948,0,41,26,FALSE
1/13/1948,0,45,29,FALSE
1/14/1948,0,38,26,FALSE
1/15/1948,0,34,31,FALSE
1/16/1948,0,34,28,FALSE
1/17/1948,0,35,29,FALSE
1/18/1948,0,33,28,FALSE
1/19/1948,0,34,27,FALSE
1/20/1948,0,36,29,FALSE
1/21/1948,0,48,32,FALSE
1/22/1948,0.21,47,44,TRUE
1/23/1948,0,47,43,FALSE
1/24/1948,0.1,45,34,TRUE
1/25/1948,0,46,30,FALSE
1/26/1948,0,45,32,FALSE
1/27/1948,0,53,33,FALSE
1/28/1948,0,53,25,FALSE
1/29/1948,0.22,42,34,TRUE
1/30/1948,0.03,47,30,TRUE
1/31/1948,0.21,35,27,TRUE
2/1/1948,0.03,39,30,TRUE
2/2/1948,0,43,26,FALSE
2/3/1948,0.2,38,26,TRUE
2/4/1948,0.14,39,31,TRUE
